original,expect,result
环比分别下跌百分之三点四六及微涨百分之零点七零,环比分别下跌3.46%及微涨0.70%,环比分别下跌3.46%及微涨0.70%
六月仍有百分之七单价在三万元的房源,六月仍有7%单价在3万元的房源,六月仍有7%单价在3万元的房源
明天有百分之六十二的概率降雨,明天有62%的概率降雨,明天有62%的概率降雨
,,
比分测试十七比十六,比分测试17:16,比分测试17:16
比分测试三十七比十六,比分测试37:16,比分测试37:16
,,
现场有十二分之七的观众投出了赞成票,现场有7/12的观众投出了赞成票,现场有7/12的观众投出了赞成票
,,
昨天你九点二十一分才到教室,昨天你9:21才到教室,昨天你9:21才到教室
,,
我们的会议时间定在九点二十五分开始,我们的会议时间定在9:25开始,我们的会议时间定在9:25开始
上课时间是八点十五分请不要迟到,上课时间是8:15请不要迟到,上课时间是8:15请不要迟到
等会请在十二点零五分请通知我,等会请在12.05分请通知我,等会请在12.05分请通知我
二十三点十五分开始,23:15开始,23:15开始
,,
一九一九年的五四运动是新民主主义革命的开端,1919年的五四运动是新民主主义革命的开端,1919年的五四运动是新民主主义革命的开端
长征于一九三六年十月结束,长征于1936年10月结束,长征于1936年10月结束
今天是二零一九年一月三十一日,今天是2019年1月31日,今天是2019年1月31日
祖国的生日是十月一日,祖国的生日是10月1日,祖国的生日是10月1日
今年的除夕夜是二零一九年二月四号,今年的除夕夜是2019年2月4号,今年的除夕夜是2019年2月4号
时间测试二零一八年五月二十三号上午十点十分,时间测试2018年5月23号上午10:10,时间测试2018年5月23号上午10:10
中新网八月二十九日电今日,中新网8月29日电今日,中新网8月29日电今日
她出生于八六年八月十八日她弟弟出生于一九九五年三月一日,她出生于86年8月18日她弟弟出生于1995年3月1日,她出生于86年8月18日她弟弟出生于1995年3月1日
,,
自六月底呼和浩特市率先宣布取消限购后,自六月底呼和浩特市率先宣布取消限购后,自六月底呼和浩特市率先宣布取消限购后
仅一个多月的时间里,仅一个多月的时间里,仅一个多月的时间里
不管三七二十一,不管三七二十一,不管三七二十一
九九八十一难,九九八十一难,九九八十一难
一点一滴,一点一滴,一点一滴
八九十,八九十,八九十
一个人一定要,一个人一定要,一个人一定要
最终也只是以总积分一分之差屈居第二,最终也只是以总积分一分之差屈居第二,最终也只是以总积分一分之差屈居第二
其中包括对拥有一套住房并已结清相应购房贷款的家庭,其中包括对拥有一套住房并已结清相应购房贷款的家庭,其中包括对拥有一套住房并已结清相应购房贷款的家庭
就连一向看多的任志强,就连一向看多的任志强,就连一向看多的任志强
近期也一反常态地发表看空言论,近期也一反常态地发表看空言论,近期也一反常态地发表看空言论
